title,loan_status,title
"$20,000 Consolidation Loan needed",Charged Off,1
"$20,000 paid in 36 months",Charged Off,1
$2400 Loan Needed,Fully Paid,1
$2500 to fund project and pay bills,Fully Paid,1
"$3,600 loan",Fully Paid,1
$3000 Loan,Charged Off,1
"$5,000 personal loan",Fully Paid,1
$5000 car loan to be paid back in 6mo,Fully Paid,1
$5000/$162.73 36 Months,Fully Paid,1
$5K Loan for startup Business in NY,Fully Paid,1
$5K Refi,Fully Paid,1
$6500 36 months,Fully Paid,1
"$7,000 to remove my debt.",Fully Paid,1
"$8,000 Loan",Fully Paid,1
$8000,Fully Paid,1
'08 & '09 Roth IRA Investments,Fully Paid,1
'08 Rehab,Fully Paid,1
'56 Dream Trailer,Fully Paid,1
'71 Bobbed Duece,Fully Paid,1
** CAR REPAIRS NEEDED**,Fully Paid,1
*** Paying Off All Debts ***,Fully Paid,1
**Pay off 3 to 10 yr old CC debt in 3yrs for the same pymt-I NEVER PAY LATE**,Charged Off,1
..and a Pony,Fully Paid,1
0,Fully Paid,1
0 debt,Fully Paid,1
0% Balance transfer expiring soon!,Fully Paid,1
02 Envoy,Fully Paid,1
02 celica,Fully Paid,1
02 ford ranger,Fully Paid,1
03 softail,Fully Paid,1
05' Hyundai Sonata ,Charged Off,1
06 Camaro ,Fully Paid,1
06-02-2011,Fully Paid,1
07 Fatboy,Fully Paid,1
08 Harley Fat Boy,Fully Paid,1
0809healthbills,Charged Off,1
081810 Personal Loan $14k,Fully Paid,1
09-2011 Debt Consolidation,Fully Paid,1
0livia 24,Fully Paid,1
1,Charged Off,1
1 EZ Payment,Fully Paid,1
1 Step Closer to Freedom,Fully Paid,1
1 Williams Inc.,Charged Off,1
1 cent,Charged Off,1
1 consolidate,Fully Paid,1
1 new loan,Fully Paid,1
1 year down,Fully Paid,1
1-4-3 Loan,Fully Paid,1
10 years together,Charged Off,1
10-26-11,Fully Paid,1
10-Oct,Fully Paid,1
"100% Guaranteed Loan, Great Credit Score",Fully Paid,1
100% Perfect Payment History,Fully Paid,1
100% ontime payment history 95K W2 verifiable income pay off colleg creditcards,Fully Paid,1
100% payback,Fully Paid,1
100% will payback,Fully Paid,1
1000,Fully Paid,1
10000,Fully Paid,1
1010,Fully Paid,1
10750,Fully Paid,1
10K Dec 2010 Loan,Fully Paid,1
10K Loan,Fully Paid,1
10K Marathon,Fully Paid,1
10K Wedding loan,Fully Paid,1
10k,Fully Paid,1
10k 60 Months Siedt,Fully Paid,1
10k CC Cons.,Fully Paid,1
10k Loan,Fully Paid,1
10k consolidation loan,Fully Paid,1
10k loan,Fully Paid,1
10k_debt_free,Fully Paid,1
11/19/11,Fully Paid,1
11/2010 Debt Consolidation Loan,Charged Off,1
11000 For 3 Years,Fully Paid,1
111 petty,Fully Paid,1
1166 Home Improvement,Fully Paid,1
11cbgreatloan,Charged Off,1
11k,Fully Paid,1
12,Fully Paid,3
12-7-11 DEBT AND MEDICAL CONSOLIDATE,Fully Paid,1
12/1/11 Loan,Fully Paid,1
12/2011 loan,Fully Paid,1
1200 = 36month,Fully Paid,1
123,Fully Paid,2
12k 16.5%,Fully Paid,1
12k consolidation,Fully Paid,1
12k loan at 10.38% interest,Fully Paid,1
13.11% Loan Rate,Fully Paid,1
13.48%,Fully Paid,1
13000,Fully Paid,1
1314,Fully Paid,1
13K in 26 mnts,Charged Off,1
14.85% to replace 17.24%,Fully Paid,1
147 Sit st.,Fully Paid,1
14k Loan,Fully Paid,1
15 years,Fully Paid,1
1500 loan,Fully Paid,1
15000,Charged Off,1
15000,Fully Paid,2
15K LOAN,Charged Off,1
15k Loan consolidation,Fully Paid,1
16.30% Credit Card,Fully Paid,1
16k5yr,Fully Paid,1
16k_loan,Fully Paid,1
16kloan,Fully Paid,1
17000 loan Lendingclub,Fully Paid,1
1717,Charged Off,1
17th green,Fully Paid,1
18k,Fully Paid,2
"18k CC Paydown w/ stable income, savings",Fully Paid,1
1923 Bungalow Restoration,Fully Paid,1
1941 Chevrolet 3100,Fully Paid,1
1950swilly,Fully Paid,1
1957 Chevy Pick up,Fully Paid,1
1957 chevy,Fully Paid,1
1959MGA,Fully Paid,1
1964 buick skylark/auto loan,Fully Paid,1
1964 morgan,Fully Paid,1
1967 Triumph Bonneville,Fully Paid,1
1968 Pontiac GTO clone,Fully Paid,1
1968 Triumph,Fully Paid,1
1969 Camaro,Fully Paid,1
1969 lemans ,Charged Off,1
1969 mustang restoration,Fully Paid,1
1970 Chevelle,Fully Paid,1
1970 Dodge Charger,Fully Paid,1
1972 C/10,Fully Paid,1
1973 Mustang,Fully Paid,1
1975 Shovelhead,Fully Paid,1
1975 Stingray,Fully Paid,1
1978 Corvette,Fully Paid,1
1979 FL,Fully Paid,1
1986 F800 Fire Truck,Fully Paid,1
1988 MR2 Supercharged,Fully Paid,1
1989 Honda NX650,Fully Paid,1
1991 Airstream ,Charged Off,1
1991 Mustang,Fully Paid,1
1991 Nissan 300ZX,Fully Paid,1
1991 Volvo,Fully Paid,1
1993 Softail Rig,Charged Off,1
1994 Chevy Tahoe,Fully Paid,1
1995 Holiday Rambler,Fully Paid,1
1997 JEEP,Fully Paid,1
1998 BMW 3 series,Fully Paid,1
1998 Chevelet Camaro,Fully Paid,1
1998 Chevy,Fully Paid,1
1999 Audi A4 Quattro,Fully Paid,1
1999 BMW M3,Fully Paid,1
1999 Camaro SS,Fully Paid,1
"1999 Camry LE, 42K Miles",Fully Paid,1
1999 HARLEY ULTRA GLIDE,Fully Paid,1
1999 Suzuki GSXR 600,Fully Paid,1
1FBUSA Credit Card Refinance,Fully Paid,1
1ST STEP,Fully Paid,1
1fb,Fully Paid,1
1st Financial APRs WAY too high! :-),Fully Paid,1
1st Loan,Charged Off,1
1st Time Borrower,Fully Paid,1
1st Time Buyer - Financially Secure,Fully Paid,1
1st attempt,Fully Paid,1
"1st home for educated, driven mom of 1 ",Fully Paid,1
1st loan,Fully Paid,1
1st loan cc,Fully Paid,1
1st loan: Re-invest,Fully Paid,1
1st reliable car purchase,Fully Paid,1
1st step to fredom,Fully Paid,1
1st time mortgage downpayment ,Fully Paid,1
2 Months Are All I Need,Charged Off,1
2 morgage consolidation,Fully Paid,1
2 scooters,Fully Paid,1
"2,400.00",Fully Paid,1
2-Card Consolidation,Fully Paid,1
2000 Celica,Fully Paid,1
2000 F250 Superduty,Fully Paid,1
2000 Ford F350,Fully Paid,1
2000 loan,Fully Paid,1
2000loan,Fully Paid,1
2001 Dodge Ram 2500,Fully Paid,1
2001-04 Jetta TDi,Fully Paid,1
"2002 Chevy Malibu Purchase 41,000 Miles",Fully Paid,1
2002 Dodge Ram 1500,Charged Off,1
2002 E55,Fully Paid,1
2002 Ford F--150 4 X 4,Fully Paid,1
2002 Harley-Davidson Sportster 883R,Fully Paid,1
2002 Jayco Pop up camper,Fully Paid,1
2002 SUGAR SAND,Fully Paid,1
2002 Timberland RV travel trailer,Fully Paid,1
2002 chevy,Fully Paid,1
2003,Fully Paid,1
2003 BMW,Fully Paid,1
2003 Harley,Fully Paid,1
2003 Honda Civic,Fully Paid,1
2003 Mitsubishi Lancer,Fully Paid,1
2003 Saturn,Fully Paid,1
2004 GMC,Fully Paid,1
2004 Impala ,Fully Paid,1
2004 Suzuki Volusia 800 Motorcycle,Fully Paid,1
2005 CK 2500,Fully Paid,1
2005 G35 4 Door,Fully Paid,1
2005 Harley Davidson Road Glide,Fully Paid,1
2005 Jeep Wrangler,Fully Paid,1
2005 Niagara Fleetwood Folding Trailer,Fully Paid,1
2005 Nissan Titan,Fully Paid,1
2005 Prius,Fully Paid,1
2005 Toyota Prius,Fully Paid,1
2005 chopper loan,Fully Paid,1
2006 Infiniti G35 coupe lease buyout,Fully Paid,1
2006 Kia Sedona,Fully Paid,1
2007 EZ-GO,Fully Paid,1
2007 Freightliner Columbia 120,Fully Paid,1
2007 HD 1200C,Fully Paid,1
2007 Kawasaki Vulcan 900 custom,Fully Paid,1
2007-cobalt ,Fully Paid,1
2007Tax,Charged Off,1
2008 Debt Consolidation,Fully Paid,1
2008 Ducati Hypermotard,Fully Paid,1
2008 Harly-Davidson 883 Sportster,Fully Paid,1
2008 Honda ATV,Fully Paid,1
2008 Tax Payment,Fully Paid,1
2008 f-250,Fully Paid,1
2008 resolution,Charged Off,1
2009 Debt Consolidation,Fully Paid,2
2009 Federal Tax Help,Fully Paid,1
2009 Loan consolidation,Fully Paid,1
2009 Personal Loan,Fully Paid,1
2009 SunL 700  4x4 UTV,Fully Paid,1
2009/2010 School Tuition,Fully Paid,1
2010,Charged Off,2
2010,Fully Paid,8
2010 CREDIT CARD EXPENSE,Fully Paid,1
2010 Car Loan,Fully Paid,1
2010 Consol Cr1,Fully Paid,1
2010 Consolidation,Fully Paid,1
2010 DISASTER,Fully Paid,1
2010 Debt Consolidation,Charged Off,1
2010 Debt Consolidation,Fully Paid,2
2010 Debt Loan,Fully Paid,1
2010 Debt Recovery Loan ,Fully Paid,1
2010 GOAL,Charged Off,1
2010 Income Taxes,Fully Paid,1
2010 LC Loan,Fully Paid,1
2010 Life Loan,Fully Paid,1
2010 Loan,Fully Paid,2
2010 Loan 1,Fully Paid,1
2010 Milgauss,Fully Paid,1
2010 Personal Loan,Fully Paid,1
2010 Relief from high interest,Charged Off,1
2010 Success,Fully Paid,1
2010 Tax Debt,Fully Paid,1
2010 Year End Consolidation,Fully Paid,1
2010 cleanup,Fully Paid,1
2010 fund,Fully Paid,1
2010 loan,Fully Paid,1
2010 pay offs,Fully Paid,1
2010 purchase plan,Fully Paid,1
2010 restructer,Fully Paid,1
2010 taxes,Fully Paid,1
2010 yamaha grizzly,Fully Paid,1
2010-PAYOFF,Charged Off,1
2010_Loan,Fully Paid,1
2010disaster,Fully Paid,1
2011,Charged Off,1
2011,Fully Paid,3
2011 - Freedom from cc debt,Fully Paid,1
2011 - LOAN,Fully Paid,1
2011 Anna's Loan,Fully Paid,1
2011 CC Pay-Off,Fully Paid,1
2011 CSPL,Fully Paid,1
2011 Card Payoff Plan,Fully Paid,1
2011 Consolidate Loan,Fully Paid,1
2011 Consolidation,Charged Off,1
2011 Consolidation,Fully Paid,4
2011 Consolidation ,Fully Paid,1
2011 Consolidation Loan,Fully Paid,2
2011 Credit Card,Fully Paid,1
2011 Credit Card Payoff,Fully Paid,1
2011 Credit Card Refinance,Fully Paid,1
2011 Debt Consolidation,Charged Off,2
2011 Debt Consolidation,Fully Paid,3
2011 Debt Consolidation Loan,Fully Paid,2
2011 Debt Payoff,Fully Paid,1
2011 Debt consolidation loan,Fully Paid,1
2011 Debt elimination plan,Fully Paid,1
2011 Family Celebration Expenses,Fully Paid,1
2011 Get on track loan,Fully Paid,1
2011 GulfStream Sunchaser 34' ,Fully Paid,1
2011 High APR CC Consolidation,Fully Paid,1
2011 Holiday,Fully Paid,1
2011 Insurance and Debt Consolidation,Fully Paid,1
2011 Loan,Charged Off,2
2011 Loan,Fully Paid,5
2011 Move,Fully Paid,1
2011 New Start,Fully Paid,1
2011 Pay Down Dept,Fully Paid,1
2011 Personal Loan,Fully Paid,1
2011 Preparation - Consolidation,Fully Paid,1
2011 REFINANCE ,Charged Off,1
2011 Refi Loan,Fully Paid,1
2011 Resolutions,Charged Off,1
2011 Rules,Fully Paid,1
2011 cleanup,Fully Paid,1
2011 consolidation,Charged Off,1
2011 consolidation,Fully Paid,1
2011 dcl,Fully Paid,1
2011 debt consolidation,Fully Paid,1
2011 loan,Fully Paid,3
2011-Help,Fully Paid,1
2011: credit cards consolidated,Fully Paid,1
2011Creditcardrefi,Fully Paid,1
2011loanconsol,Fully Paid,1
2011payoff,Fully Paid,1
2012 Back on Track Loan,Fully Paid,1
2012 Debt Consolidation,Fully Paid,1
2012 Loan,Fully Paid,1
2012 New Beginnings,Charged Off,1
2012loan,Fully Paid,1
20K Lending Club,Fully Paid,1
20K Personal Loan,Fully Paid,1
20k,Fully Paid,1
20k personal loan,Fully Paid,1
21 years on job,Fully Paid,1
215MF,Fully Paid,1
21st-Century,Fully Paid,1
"24,000",Fully Paid,1
2400,Fully Paid,1
240SX,Fully Paid,1
25% is ridiculous!!,Fully Paid,1
250 2stroke,Fully Paid,1
250 Crownline,Fully Paid,1
25000,Fully Paid,1
2513 Home Improvement,Fully Paid,1
25450,Fully Paid,1
25K Credit Consolidation Loan,Fully Paid,1
25KLoan,Fully Paid,1
25k loan,Fully Paid,1
26 Years at My Job_Good Credit Borrower,Fully Paid,1
2700 for CC,Fully Paid,1
28-May-10,Fully Paid,1
2800,Fully Paid,1
29 yrs as Federal Employee,Fully Paid,1
2908 Home Improvement,Fully Paid,1
2BDebtFree,Fully Paid,1
2D Loan,Fully Paid,1
2ND LOAN WITH LENDING CLUB,Fully Paid,1
2js,Fully Paid,1
2k Debt Consolidation,Fully Paid,1
2k LC loan,Fully Paid,1
2nd,Fully Paid,2
2nd Car,Fully Paid,1
2nd Chance,Charged Off,1
2nd Chance @ Credit Freedom,Fully Paid,1
2nd Consolidation Loan,Fully Paid,1
2nd Floor Addition,Fully Paid,1
2nd Loan,Charged Off,1
2nd Loan,Fully Paid,1
2nd Mortgage Payoff,Charged Off,1
2nd Phase Business Expansion,Fully Paid,1
2nd Truck For Commercial Fleet,Fully Paid,1
2nd Vehicle,Fully Paid,1
2nd debt consoidation,Fully Paid,1
2nd loan,Fully Paid,3
2nd loan ,Fully Paid,1
2nd story expansion,Charged Off,1
3 Card Meltdown,Fully Paid,1
3 Income Household Refinancing CC Debt,Fully Paid,1
3 POWER,Fully Paid,1
3 Promising Years,Fully Paid,1
3 Year Debt Consolidation,Fully Paid,1
3 Year Debt Plan,Fully Paid,1
3 Year Pay Plan Consolidated,Fully Paid,1
3 Year Plan to Pay off debt,Fully Paid,1
"3 Year, $2000",Fully Paid,1
3 Years Loan,Fully Paid,1
3 Yr Consolidation Loan,Fully Paid,1
3 and out,Fully Paid,1
3 credit cards,Fully Paid,1
3 credit cards- 20.00 interest rate,Fully Paid,1
3 in 1 - Three small sum debts into one,Charged Off,1
3 months carry,Fully Paid,1
3 variable credit cards into a $15k fixed loan,Fully Paid,1
3 year 100% guaranteed loan,Fully Paid,1
3 year itch,Fully Paid,1
3 year payoff loan,Fully Paid,1
3 year plan,Fully Paid,3
3 year plan - short sale,Fully Paid,1
3 years,Fully Paid,1
3 years in the clear,Fully Paid,1
3-year,Fully Paid,1
3.2k,Fully Paid,1
30 Day 401K Payoff,Fully Paid,1
30 Year Roof Needs Replacing After 40,Fully Paid,1
30 day loan,Fully Paid,1
30 year Fed Gov employee,Fully Paid,1
3000 Loan,Fully Paid,1
3011 debt loan,Fully Paid,1
33 YEARS DUE,Fully Paid,1
"34 Yrs With Employer, Safe Opportunity!",Fully Paid,1
350 Rich. Terrace,Fully Paid,1
3500,Fully Paid,2
35k,Fully Paid,1
36,Fully Paid,1
36 Months Starting July 2011,Fully Paid,1
36 Months to Freedom,Fully Paid,1
36 month debt loan,Fully Paid,1
36 months @ 12.82% APR,Charged Off,1
36 months to freedom,Fully Paid,1
37 year old INTJ seeks cheap capital,Fully Paid,1
3711 Home Improvement,Fully Paid,1
3900,Fully Paid,1
3ChristmasDept,Fully Paid,1
3D Printer,Fully Paid,1
3K,Fully Paid,1
3K Loan,Fully Paid,1
3k loan,Fully Paid,1
"3rd LC Loan, No Late Payments",Fully Paid,1
3rd loan w/ LendingClub--for car/medical,Fully Paid,1
3tofree,Fully Paid,1
3yr Consolodation Loan,Fully Paid,1
3yr Guarantee!,Fully Paid,1
3yrs to freedom,Fully Paid,1
4 Credit Card Closeout,Fully Paid,1
4 Debt payoff,Fully Paid,1
4 my Bike,Fully Paid,1
4 wheeler,Fully Paid,1
4-Wheeler & credit refinance,Fully Paid,1
4-wheeler money,Fully Paid,1
40 Acre Land Purchase,Fully Paid,1
40 desert acres to unplug,Fully Paid,1
401 K Payoff,Fully Paid,1
401(K) PAYOFF LOAN,Fully Paid,1
401-k payoff,Fully Paid,1
401K,Charged Off,1
401K Consolidation,Fully Paid,1
401K Loan Payoff,Fully Paid,2
401K Payoff,Fully Paid,1
401K repayment,Fully Paid,1
401k LOAN REPAYMENT,Fully Paid,1
401k Loan Payback,Fully Paid,1
401k Loan Payoff,Fully Paid,2
401k Payoff,Fully Paid,2
401k loan payoff to cash out,Fully Paid,1
401k pay off,Fully Paid,1
401k/creditcard,Charged Off,1
410 Main,Fully Paid,1
4102011,Fully Paid,1
4500 Consolidation,Fully Paid,1
47% off 12 Month Lease,Fully Paid,1
4800,Fully Paid,2
4800 BEANS,Fully Paid,1
4800 credit paydown,Fully Paid,1
4900,Fully Paid,1
4WD Chevy,Fully Paid,1
4bills-in-1,Fully Paid,1
4k M Loan,Fully Paid,1
4k loan dk,Fully Paid,1
4kAmexPayoff,Fully Paid,1
4myhouse,Charged Off,1
4wheeler,Fully Paid,1
4x4,Fully Paid,1
4x4 Winter Vehicle,Fully Paid,1
4x4 truck,Fully Paid,1
5 YEARS,Fully Paid,1
5 Year debt consol loan,Fully Paid,1
5 Years to Financial Freedom,Fully Paid,1
5 done,Charged Off,1
5 year debt free loan,Fully Paid,1
5 year plan,Charged Off,1
5 yr loan,Fully Paid,1
"50 down, 50 to go",Fully Paid,1
50% Loan to Home Purchase Price,Fully Paid,1
5000,Fully Paid,3
5000  went trhough lending tree,Fully Paid,1
502countdown,Fully Paid,1
5082010,Fully Paid,1
50th anniversary,Fully Paid,1
50th anniversary dream vacation,Fully Paid,1
5200,Fully Paid,1
528i,Fully Paid,1
53 CC Debt Consolidation Loan,Fully Paid,1
53' Trailer,Fully Paid,1
5500 personal loan,Fully Paid,1
56 Olds 98,Fully Paid,1
5600 Credit Card,Fully Paid,1
57 Chevy,Fully Paid,1
57 chevy,Fully Paid,1
59 skyliner,Fully Paid,1
5K-20100822,Fully Paid,1
5KLoan,Fully Paid,1
5YearPlan,Fully Paid,1
5k loan,Fully Paid,1
5tetu62n05z081960,Fully Paid,1
5th Wheel Purchase,Fully Paid,1
"6 High Effiecncy Furnaces,+Misc.Apt Bldg",Fully Paid,1
6 months loan,Fully Paid,1
6 year existing business loan,Charged Off,1
60 month,Charged Off,1
6000,Fully Paid,1
616,Fully Paid,1
627 LOAN,Fully Paid,1
66 Chevy,Fully Paid,1
66 Mustang,Fully Paid,3
67 camaro,Fully Paid,1
69 Camaro,Fully Paid,1
6K Credit Cards,Fully Paid,1
6k,Fully Paid,1
6k loan,Fully Paid,1
6kloan,Fully Paid,1
6x6,Fully Paid,1
6x6 loan,Fully Paid,1
7 ridge,Fully Paid,1
7.2k Credit Refi,Fully Paid,1
7.2k Loan,Fully Paid,1
"70%Attached room,30%cc-loanconsolidation",Fully Paid,1
7000,Charged Off,1
71 Lemans,Fully Paid,1
72 HO Mustang,Fully Paid,1
720 + Debt Consolidation Loan,Fully Paid,1
72003yr,Fully Paid,1
7300,Charged Off,1
750 Excellent Credit Score - Need a quick cash for wedding anniversary!,Fully Paid,1
750+ Credit Score; Refinancing Debt at Lower % to Buy Home by End of Year,Fully Paid,1
760 Goal,Fully Paid,1
767 Credit Score - First Motorcycle ,Fully Paid,1
7750,Fully Paid,1
77911,Fully Paid,1
78 classic vw,Fully Paid,1
780 credit -  New furniture!,Fully Paid,1
780+ Credit Score -- Seeking Advanced Education Funding Help (Quant Finance),Fully Paid,1
784 credit score,Fully Paid,1
79 Trans Am,Fully Paid,1
790+ FICO Score Looking For Loan,Fully Paid,1
7k Personal Loan,Fully Paid,1
7kLoan,Fully Paid,1
8 thousand,Fully Paid,1
"8,000",Fully Paid,1
8/3/11 loan,Fully Paid,1
80 mustang,Fully Paid,1
800 credit score borrower,Fully Paid,1
800+ Credit - Buying Dirtbike,Fully Paid,1
8000,Fully Paid,1
82 Yamaha Maxim,Fully Paid,1
8301962,Charged Off,1
833 Central Debt Consolidation,Fully Paid,1
84 GMC,Fully Paid,1
84 Post ,Fully Paid,1
850,Charged Off,1
850T5 Moto Guzzi,Fully Paid,1
86 Credit Card Debt,Fully Paid,1
8K,Fully Paid,1
8k option,Fully Paid,1
9 year steady job + homeowner  + no car payment!,Fully Paid,1
"9,000 Loan",Fully Paid,1
9.09 Loan,Fully Paid,1
911 Load,Fully Paid,1
92 240sx,Fully Paid,1
92 chevy,Fully Paid,1
928loan,Fully Paid,1
95 DSM,Fully Paid,1
95 harley,Fully Paid,1
9600,Fully Paid,1
96jaguar,Fully Paid,1
98 Jeep Cherokee,Fully Paid,1
9k loan,Fully Paid,1
:),Charged Off,1
:),Fully Paid,1
:. Rob's Loan .:,Fully Paid,1
>>>>>>MONEY<<<<<<<<<,Fully Paid,1
??,Fully Paid,2
@ Home Healthcare Franchise,Fully Paid,1
A Better Bath,Fully Paid,1
A Better Type Of Borrower,Charged Off,1
A Big Help to The Golden Bubbles,Fully Paid,1
A Blessing from the Almighty,Fully Paid,1
A Brighter Day,Fully Paid,1
A Change Is Gonna Come,Fully Paid,1
A Commitment to (Credit) Excellence,Fully Paid,1
A Daughter's Dream Wedding,Fully Paid,1
A Family Reunion...In Ireland.,Fully Paid,1
A Few Payments Into One,Fully Paid,1
A Fresh Start,Fully Paid,2
A GIFT THAT WILL KEEP GIVING,Charged Off,1
A Garage Loan Needed that Pays,Fully Paid,1
A Good Investment...,Charged Off,1
A HAND UP,Charged Off,1
A Hard Working Artist with Great Credit (shocking!),Fully Paid,1
A Life Without Love Is No Life At All,Fully Paid,1
A Loan,Fully Paid,1
A Loan To Pay Off High-Interest Debt,Fully Paid,1
A Loan to Get Back Under Control after an Illness,Charged Off,1
A Lower Interest Rate to Eliminate Debt,Fully Paid,1
A NYC Musician's Quest for Debt Freedom!,Fully Paid,1
A New  Start,Charged Off,1
A New Begining...,Fully Paid,1
A New Beginning,Charged Off,2
A New Beginning,Fully Paid,3
A New Beginning Loan,Fully Paid,1
A New LIfe,Fully Paid,1
A New Life,Charged Off,1
A New Roof,Fully Paid,1
A New Start,Fully Paid,1
A New beginning,Fully Paid,1
A Prosperous Partnership,Charged Off,1
A QUICK PAY DAY,Fully Paid,1
A Reasonable Loan,Fully Paid,1
A Safe Choice,Fully Paid,1
A Single Payment,Charged Off,1
A Small Personal Loan,Fully Paid,1
A Smart Move,Fully Paid,1
A Solution,Charged Off,1
A Step In The Right Direction,Fully Paid,1
A Sure Thing,Fully Paid,1
A Tech and a Camera,Fully Paid,1
A Wedding,Fully Paid,1
A Win-Win Loan,Fully Paid,1
A and A Dad ,Charged Off,1
A baby?  In our house?!?,Fully Paid,1
A better FICO score is my goal & lower ,Fully Paid,1
A better life loan,Fully Paid,1
A better rate loan for cards we dont use,Fully Paid,1
A chance for a clean slate!,Fully Paid,1
A filmmaker who needs a new camera.,Fully Paid,1
A fresh new year with less CC debts,Fully Paid,1
A fresh start,Fully Paid,1
A fresh start 2010,Charged Off,1
A fresh start for the New Year,Fully Paid,1
A fresh start!,Fully Paid,1
A friend in need,Fully Paid,1
A future without debt,Fully Paid,1
A great opportunity :),Fully Paid,1
A helping hand!,Fully Paid,1
A little extra dough for the wedding,Fully Paid,1
A little extra help,Fully Paid,1
A little freedom,Fully Paid,1
A little help,Fully Paid,1
A little help from the Universe,Fully Paid,1
A little help needed,Charged Off,1
A little help please!,Fully Paid,1
A little over extended,Fully Paid,1
A loan that fits my needs,Charged Off,1
A medical expense to change a life,Fully Paid,1
A merry Christmas vacation,Fully Paid,1
A mess,Fully Paid,1
A new MacBook to function as my primary work computer,Fully Paid,1
A new beginning for my financial future,Charged Off,1
A new day,Fully Paid,1
A new life,Fully Paid,2
A new start,Fully Paid,1
A positive step in the right direction ,Fully Paid,1
A safe investment!,Fully Paid,1
A simple Debt Consolidation,Fully Paid,1
A step closer to Zero Creidt Card Debt,Fully Paid,1
A string of bad luck,Fully Paid,1
A time to restart,Fully Paid,1
A winner,Fully Paid,1
A young couple's lodge on wheels.,Fully Paid,1
A's2Zee's,Fully Paid,1
A+ Credit Investing in Marketing Company,Fully Paid,1
A+ Rated Consolidation,Fully Paid,1
A-Liner Classic,Fully Paid,1
A-tier credit. Vacation loan,Fully Paid,1
A/C HEAT REPLACE,Fully Paid,1
A/C Repair,Fully Paid,1
A1,Fully Paid,1
AA Repay,Fully Paid,1
AAA,Fully Paid,1
AAA  Credit,Fully Paid,1
AAAA Loan,Fully Paid,1
AAL loan,Fully Paid,1
AB Consolidation Loan,Fully Paid,1
ABOVE WATER,Fully Paid,1
ABT Debt Consolidation,Fully Paid,1
ABmaster,Fully Paid,1
AC Home,Fully Paid,1
AC Loan,Fully Paid,1
AC Unit,Fully Paid,2
AC loan,Fully Paid,1
ACEANDABE,Fully Paid,1
ACQUIRING GREEN WEBSITE,Fully Paid,1
ACS,Fully Paid,1
ACURA,Fully Paid,1
ACarter72,Fully Paid,1
AD. Motorcycle loan,Fully Paid,1
ADS 3 yr plan ,Fully Paid,1
